"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774199101745516559","Sat Mar 30 22:16:43 +0000 2024","14","Gw sama adek gw g terlalu deket selama di Indo krn sibuk masing2. Tp pas w iisma di yg kebetulan kampus dia juga gw jadi bs sering hang. Dan tbh gw sama dia banyak hal yg sama krn selama ini gw baru nyadar dia nyontoh gw a lot. Kyk during my time there we got a lot closer https://t.co/limQG48hWu","1774199101745516559","https://pbs.twimg.com/media/GJ84qyUakAAJ4Fd.jpg","","in","not vancouver","0","2","0","https://x.com/sechinbisan/status/1774199101745516559","1569697209335296001","sechinbisan"
"1773921144011456896","Sat Mar 30 21:12:06 +0000 2024","0","@avrch1ves haloo kak mau tanya2 tentang iisma di dm apakah boleh? karena aku mau cari tau lebih tysm^^","1774182842135965892","","avrch1ves","in","","0","1","0","https://x.com/99sfiles/status/1774182842135965892","1272860195887083520","99sfiles"
"1774179647150039379","Sat Mar 30 21:03:55 +0000 2024","0","gw kaga lolos iisma masa gw bilang ngapain lo anjing pada pamer ew ??? ","1774180778924232709","","Bithecanthropus","tl","rant.un-labeled.account","1","1","0","https://x.com/Bithecanthropus/status/1774180778924232709","1159652370633986048","Bithecanthropus"
"1774178481309622646","Sat Mar 30 20:54:48 +0000 2024","1","Gue iri terus dari dulu liat temen snm sbmnya ijo liat temen keterima mandiri ptn liat temen keterima iisma. Tapi yaudah kek they worked hard for that themselves no? They got every right to be happy and share it to socmed. Gue sih off socmed dulu dan besok2nya baru nyelametin.","1774178484501512262","","jigiput","in","she/her - homophobes dni","0","1","0","https://x.com/jigiput/status/1774178484501512262","1054235355048685569","jigiput"
"1774143698994909370","Sat Mar 30 20:29:29 +0000 2024","0","@wowzalive bandung itu pergerakannya slow living gitu","1774172114540716116","","wowzalive","in","she/they 21","0","1","0","https://x.com/psikobagiduo/status/1774172114540716116","1561926421626650624","psikobagiduo"
"1774128383091478970","Sat Mar 30 20:00:33 +0000 2024","0","@BeastJaeyun @BelleSeeun Dudung dosen HarvardYuniversiti nanti Dudung yang ngajarin awardee IISMA.","1774164836022386749","","LovableSungho","in","2001 , 제로베이스원's HANBIN ","0","1","0","https://x.com/takemebaick/status/1774164836022386749","874047729420206081","takemebaick"
"1774158569828757643","Sat Mar 30 19:35:39 +0000 2024","1","Fase kuliah: Sem 1: anjay masuk ugm tapi online :( Sem 2: stress bgt di rumah trs fomo sm org2 yg udh selesai Sem 3: FINALLY OFFLINE! main sana sini sibuk panit Sem 4: PSDMO PRK SIAPIN IISMA STRES DIKIT Sem 5: iisma 🇭🇺️️‍ Sem 6: TPS tapi agak gabut jadi bergumul 24/7","1774158569828757643","","","in","","0","0","0","https://x.com/skywvss/status/1774158569828757643","1566755912957603840","skywvss"
"1774156062746148950","Sat Mar 30 19:25:42 +0000 2024","10","Mungkin itu gunanya IISMA dan LPDP LN","1774156062746148950","","","in","Jakarta Capital Region","0","2","0","https://x.com/bennysiauw89/status/1774156062746148950","409049792","bennysiauw89"
"1774153340076892413","Sat Mar 30 19:14:53 +0000 2024","2","klo taun dpn msh ada iisma mrk wajib partner up w hong kong uni sih one of the best school in asia and I LOVE HK","1774153340076892413","","","in","POOCHINA ","0","0","0","https://x.com/tabibiba/status/1774153340076892413","1119176613021642752","tabibiba"
"1774153062732771794","Sat Mar 30 19:13:46 +0000 2024","1","plisss rep cari mutualan yg mau ikut MSIB7","1774153062732771794","","","in","","0","1","0","https://x.com/iniisaahh/status/1774153062732771794","1551151423135817728","iniisaahh"
"1774138051947827469","Sat Mar 30 18:57:27 +0000 2024","0","@pentolkuriya Anak iisma ko blumm tdur miii","1774148954105802960","","pentolkuriya","in","mars","0","1","0","https://x.com/heheyaterus/status/1774148954105802960","1451580078442246145","heheyaterus"
"1774148737776136395","Sat Mar 30 18:56:35 +0000 2024","0","mau punya temen iisma ke RRC biar punya gantungan kunci mao ze dong sama kaos xi jinping","1774148737776136395","","","in","","0","0","0","https://x.com/FreakyYay/status/1774148737776136395","1133251534819479557","FreakyYay"
"1774051205716860932","Sat Mar 30 15:42:52 +0000 2024","0","@woonhakthekid ANJRITTT dua kata lucu: jaehyun iisma","1774099984285348024","","woonhakthekid","in","","0","0","0","https://x.com/taesanlogy/status/1774099984285348024","1744848440805523456","taesanlogy"
"1774087443102544345","Sat Mar 30 15:35:50 +0000 2024","0","@shaldndra Kykk region aku disuru buat gtt utk dikirimin ke host uni kitaaaa","1774098215299862983","","shaldndra","in","","0","0","0","https://x.com/monichatime/status/1774098215299862983","1312722224680296448","monichatime"
"1774087443102544345","Sat Mar 30 15:35:32 +0000 2024","0","@author_wetpet MWAH","1774098140268040393","","author_wetpet","in","","0","0","0","https://x.com/monichatime/status/1774098140268040393","1312722224680296448","monichatime"
"1774095176165986640","Sat Mar 30 15:32:12 +0000 2024","6","@IISMAfess btw jgn lgsg gerak sndiri buat urusan ini lbh baik semua komunikasi ke host uni atau pihak iisma satu jalur via sr saja (tp klo km sr baiklah)","1774097302107689410","","IISMAfess","in","exoplanet","0","0","0","https://x.com/telorsoel/status/1774097302107689410","1476561698991403013","telorsoel"
"1774095620665745912","Sat Mar 30 15:25:31 +0000 2024","0","kadang gw ada niatan mw pake identitas asli di akun ini AWAOKWKWKWK","1774095620665745912","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774095620665745912","1235019439457726464","marinettebgnoir"
"1774095176165986640","Sat Mar 30 15:23:45 +0000 2024","4","IISMA! adakah yang belum dapet email dari host uni kalian? Kalo kek gini berarti harus ngirim email ke host uni duluan ya?","1774095176165986640","","","in","","0","6","0","https://x.com/IISMAfess/status/1774095176165986640","1499958413467344896","IISMAfess"
"1774094557086691788","Sat Mar 30 15:21:18 +0000 2024","5","gw cape bgt jd pgn (utk pelarian) bikin thread/konten/tulisan ngebedah my iisma prep","1774094557086691788","","","in","exoplanet","0","2","0","https://x.com/telorsoel/status/1774094557086691788","1476561698991403013","telorsoel"
"1774093212464156980","Sat Mar 30 15:15:57 +0000 2024","8","guys ini ktp dah pada diganti/isi? apa nunggu disuruh ajah iisma! https://t.co/tpOKVqAKWA","1774093212464156980","https://pbs.twimg.com/media/GJ7YYA0a8AAZcHm.png","","in","","0","2","1","https://x.com/IISMAfess/status/1774093212464156980","1499958413467344896","IISMAfess"
"1774092332037738851","Sat Mar 30 15:12:27 +0000 2024","0","Gak tau tiba-tiba pengen nangis. Setelah ikut pelatihan KTI PILMAPRES kembaliin laptop teman sampai kos langsung ngerasa mau nangis... Belum lagi buka WhatsApp ada banyak chat masuk tentang deadline kegiatan dan tugas. Capek mau nelpon mamak juga sudah gak ada tenaga","1774092332037738851","","","in","","0","0","0","https://x.com/happyliklik/status/1774092332037738851","1497845356415303682","happyliklik"
"1774091591822770639","Sat Mar 30 15:09:31 +0000 2024","1","temen temen iisma aku mau ganti akun nih jadi rant krn gk kepake jd baiknya kalian bub ak aja yh trimss~","1774091591822770639","","","in","","0","0","0","https://x.com/dumBlilli/status/1774091591822770639","1662874943527464962","dumBlilli"
"1774087443102544345","Sat Mar 30 14:56:20 +0000 2024","3","ps. akuu yang design using figma","1774088273834697031","","monichatime","in","","0","0","0","https://x.com/monichatime/status/1774088273834697031","1312722224680296448","monichatime"
"1773959352178954725","Sat Mar 30 14:53:14 +0000 2024","0","@anahiejm Berankat sekampung wes","1774087493526442271","","anahiejm","in","","0","0","0","https://x.com/monichatime/status/1774087493526442271","1312722224680296448","monichatime"
"1774080461339586562","Sat Mar 30 14:53:11 +0000 2024","0","@pasipasipapaaa @IISMAfess sorry oot bundle det gabisa sharing 2 orang nder","1774087484399636529","","pasipasipapaaa","tl","","0","0","0","https://x.com/jaehyunightsky/status/1774087484399636529","4668378554","jaehyunightsky"
"1774087443102544345","Sat Mar 30 14:53:02 +0000 2024","794","MAU IKUTAAAN⭐️ https://t.co/sS0DtH294j","1774087443102544345","https://pbs.twimg.com/media/GJ7TH2YaUAAzIeL.jpg","","in","","4","9","22","https://x.com/monichatime/status/1774087443102544345","1312722224680296448","monichatime"
"1774083807010037898","Sat Mar 30 14:38:35 +0000 2024","4","Dua Ribuan Mahasiswa Lolos Beasiswa IISMA 2024 Ketua Program: Selamat Datang Generasi Indonesia Emas https://t.co/pBFHChdmgw #TempoCantika","1774083807010037898","","","in","Indonesia","0","0","0","https://x.com/tempodotco/status/1774083807010037898","18129942","tempodotco"
"1773658527329890416","Sat Mar 30 14:33:01 +0000 2024","0","@letterjww Kannnn dah lama apalagi kalau u besok daftar iisma susah ketemu si","1774082407005819351","","letterjww","in","","0","0","0","https://x.com/parfaict/status/1774082407005819351","1248601436381839361","parfaict"
"1774081850635624655","Sat Mar 30 14:30:48 +0000 2024","5","Terimakasih pada awardees 2023 yg masih sering reminiscing iisma moments di timeline karena nunjukin kalo aku ga sendirian : )","1774081850635624655","","","in","","0","2","0","https://x.com/sherkive/status/1774081850635624655","1209807922215022594","sherkive"
"1774080461339586562","Sat Mar 30 14:25:17 +0000 2024","3","IISMA! yang udah yakin mau co funding temenan yukk","1774080461339586562","","","in","","0","15","0","https://x.com/IISMAfess/status/1774080461339586562","1499958413467344896","IISMAfess"
"1774072306886942727","Sat Mar 30 14:05:58 +0000 2024","0","@n0dned bro gue nonton juga lg KWKWKW","1774075600359272731","","n0dned","in","","0","1","0","https://x.com/renlukee/status/1774075600359272731","1408166980444516352","renlukee"
"1774074893338063107","Sat Mar 30 14:03:09 +0000 2024","1","HAHAHHA LUCU BGT MAKASIH DAH BIKIN MOOD GW MEMBAIK","1774074893338063107","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774074893338063107","1235019439457726464","marinettebgnoir"
"1774073723068485644","Sat Mar 30 13:58:30 +0000 2024","0","semoga sambatan gw disini masih dibatas wajar","1774073723068485644","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774073723068485644","1235019439457726464","marinettebgnoir"
"1774073397162779043","Sat Mar 30 13:57:13 +0000 2024","0","agak good mood pas liat jokes dan naga wkwkwk random bgt gw bejir","1774073397162779043","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774073397162779043","1235019439457726464","marinettebgnoir"
"1774055632355967473","Sat Mar 30 13:56:17 +0000 2024","1","@Ieowon Jatah iisma lu buat gw aj","1774073163770671252","","Ieowon","in","Osaka-fu, Japan","0","0","0","https://x.com/kazukha/status/1774073163770671252","1290181634667327488","kazukha"
"1774073003715989683","Sat Mar 30 13:55:39 +0000 2024","0","hadeh senin kembali ngampus while being fomo w/ the others yg dah pada mudik","1774073003715989683","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774073003715989683","1235019439457726464","marinettebgnoir"
"1774072753328726493","Sat Mar 30 13:54:39 +0000 2024","0","Omg adu nasib paling tidak berguna yg pernah gw baca","1774072753328726493","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774072753328726493","1235019439457726464","marinettebgnoir"
"1774070269537325557","Sat Mar 30 13:44:47 +0000 2024","0","the only way yg bs buat gw senyum skrg kayaknya kukis matcha nya ayes","1774070269537325557","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774070269537325557","1235019439457726464","marinettebgnoir"
"1774070075005521957","Sat Mar 30 13:44:01 +0000 2024","0","Asal ada paman bisa harusnya","1774070075005521957","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774070075005521957","1235019439457726464","marinettebgnoir"
"1774069492085403821","Sat Mar 30 13:41:42 +0000 2024","0","Mau nangis kek i dont feel so okay with everything semuanya kek salah.","1774069492085403821","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774069492085403821","1235019439457726464","marinettebgnoir"
"1774069329115619615","Sat Mar 30 13:41:03 +0000 2024","0","DAMN (demi apapun mau nangis)","1774069329115619615","","","in","","0","0","0","https://x.com/marinettebgnoir/status/1774069329115619615","1235019439457726464","marinettebgnoir"
"1774067222983623091","Sat Mar 30 13:32:41 +0000 2024","14","Anyway waktu gue buat essai iisma tuh gue lagu di salah satu lowest point of my life due to family issues. Gue sbg anak pertama tuh sgt amat merasakan bebannya sampe gue ke psikolog. Guess what? I used it as my hook for my essay https://t.co/6I38nEMLfV","1774067222983623091","https://pbs.twimg.com/media/GJ7AvEHbIAADvC0.jpg","","in","","0","2","0","https://x.com/Naiverse_/status/1774067222983623091","1731138419424997376","Naiverse_"
